"Election Results by State using
 Political Party Percentages, 
turnout = 0.9",,,,"Election Results by State using
 Coin Flip Method,
turnout = 0.9 ",,,,,Additional Data:,
state name,% blue vote,% red vote,,state name,% blue vote,% red vote,,,Election Cost,"$2,150,719,000 "
Alabama,38.36%,61.64%,,Alabama,50.01%,49.99%,,,Election Duration,10 Days
Alaska,36.47%,63.53%,,Alaska,50.09%,49.91%,,,,
Arizona,45.13%,54.87%,,Arizona,49.99%,50.01%,,,,
Arkansas,33.64%,66.36%,,Arkansas,50.01%,49.99%,,,,
California,65.74%,34.26%,,California,50.01%,49.99%,,,,
Colorado,48.19%,51.81%,,Colorado,49.95%,50.06%,,,,
Connecticut,54.53%,45.47%,,Connecticut,49.98%,50.02%,,,,
Deleware,53.09%,46.91%,,Deleware,49.94%,50.06%,,,,
Washington DC,90.01%,9.99%,,Washington DC,50.09%,49.91%,,,,
Florida,47.82%,52.18%,,Florida,50.03%,49.97%,,,,
Georgia,45.68%,54.32%,,Georgia,49.99%,50.01%,,,,
Hawaii,62.16%,37.84%,,Hawaii,50.04%,49.96%,,,,
Idaho,27.42%,72.58%,,Idaho,50.05%,49.95%,,,,
Illinois,55.84%,44.16%,,Illinois,50.01%,49.99%,,,,
Indiana,37.90%,62.10%,,Indiana,49.95%,50.05%,,,,
Iowa,41.74%,58.26%,,Iowa,50.00%,50.00%,,,,
Kansas,36.03%,63.97%,,Kansas,50.00%,50.00%,,,,
Kentucky,32.70%,67.30%,,Kentucky,50.01%,49.99%,,,,
Louisiana,38.48%,61.52%,,Louisiana,50.01%,49.99%,,,,
Maine,47.80%,52.20%,,Maine,50.05%,49.95%,,,,
Maryland,60.34%,39.66%,,Maryland,49.99%,50.01%,,,,
Massachusetts,60.02%,39.98%,,Massachusetts,49.99%,50.01%,,,,
Michigan,47.26%,52.74%,,Michigan,50.00%,50.00%,,,,
Minnesota,46.48%,53.52%,,Minnesota,49.98%,50.02%,,,,
Mississippi,40.07%,59.93%,,Mississippi,50.02%,49.98%,,,,
Missouri,38.12%,61.88%,,Missouri,50.00%,50.00%,,,,
Montana,35.65%,64.35%,,Montana,50.06%,49.94%,,,,
Nebraska,33.67%,66.33%,,Nebraska,50.02%,49.98%,,,,
Nevada,47.88%,52.12%,,Nevada,50.00%,50.00%,,,,
New Hampshire,46.93%,53.07%,,New Hampshire,50.03%,49.97%,,,,
New Jersey,54.99%,45.01%,,New Jersey,49.99%,50.01%,,,,
New Mexico,48.21%,51.79%,,New Mexico,50.02%,49.98%,,,,
New York,59.00%,41.00%,,New York,50.03%,49.97%,,,,
North Carolina,46.16%,53.84%,,North Carolina,49.99%,50.01%,,,,
North Dakota,27.20%,72.80%,,North Dakota,50.08%,49.92%,,,,
Ohio,43.59%,56.41%,,Ohio,50.01%,49.99%,,,,
Oklahoma,28.90%,71.10%,,Oklahoma,50.00%,50.00%,,,,
Oregon,50.06%,49.94%,,Oregon,50.01%,49.99%,,,,
Pennsylvania,47.49%,52.51%,,Pennsylvania,49.97%,50.03%,,,,
Rhode Island,54.40%,45.60%,,Rhode Island,50.06%,49.94%,,,,
South Carolina,40.68%,59.32%,,South Carolina,50.00%,50.00%,,,,
Sout Dakota,31.65%,68.35%,,Sout Dakota,50.07%,49.93%,,,,
Tennessee,34.74%,65.26%,,Tennessee,50.00%,50.00%,,,,
Texas,43.24%,56.76%,,Texas,50.01%,49.99%,,,,
Utah,27.43%,72.57%,,Utah,49.95%,50.05%,,,,
Vermont,56.61%,43.39%,,Vermont,50.11%,49.89%,,,,
Virginia,49.71%,50.29%,,Virginia,50.00%,50.00%,,,,
Washington,52.59%,47.41%,,Washington,49.99%,50.01%,,,,
West Virginia,26.37%,73.63%,,West Virginia,50.02%,49.98%,,,,
Wisconsin,46.48%,53.52%,,Wisconsin,50.00%,50.00%,,,,
Wyoming,21.44%,78.56%,,Wyoming,50.13%,49.87%,,,,
,,,,,,,,,,
Electoral Votes,,,,Electoral Votes,,,,,,
Red,356,,,Red,272,,,,,
Blue,182,,,Blue,266,,,,,
,,,,,,,,,,
Popular Vote: ,,,,Popular Vote: ,,,,,,
51.59%,red,,,50.23%,red,,,,,
